Index,Year,Opening Weekend Gross,US & Canada Gross,Worldwide Gross,Budget,awards,oscar wins,oscar nominated,Genre,Genre,Genre,Director 1,Director 2,Director 3
4794,1968,,,,,0,0,0,Comedy,,,José María Font-Espina,,
4795,1959,,,,,0,0,0,Crime,Drama,,Godfrey Grayson,,
4796,1960,,,,,0,0,0,Comedy,,,Robert Lamoureux,,
4797,1916,,,,,0,0,0,Adventure,,,George F. Marion,,
78,1959,241792,74432704,74437720,15000000,29,11,1,Adventure,Drama,,William Wyler,,
79,2004,219425,5820649,15849759,2700000,9,0,1,Drama,Romance,,Richard Linklater,,
80,1967,,,67,3200000,5,1,1,Crime,Drama,,Stuart Rosenberg,,
81,1949,,,5534,1300000,0,0,1,Action,Crime,Drama,Raoul Walsh,,
82,1970,,126562,320610,600000,2,1,1,Documentary,History,Music,Michael Wadleigh,,
83,1996,,,,,6,0,0,Crime,Drama,Thriller,Yavuz Turgul,,
84,1998,,,,,2,0,0,Comedy,Drama,Thriller,Ömer Vargi,,
85,1963,,,,,0,0,0,Drama,War,,Robert Enrico,,
86,1970,,,,,0,0,0,Drama,,,Kerry Feltham,,
87,1988,,,,,0,0,0,Documentary,,,Les Blank,,
88,2021,41011174,108327830,402027830,165000000,173,6,1,Action,Adventure,Drama,Denis Villeneuve,,
89,2017,32753122,92071675,267685209,150000000,99,2,1,Action,Drama,Mystery,Denis Villeneuve,,
90,1991,5223658,70405498,205405498,40000000,19,2,1,Drama,History,Thriller,Oliver Stone,,
91,2015,474560,183637894,532950503,135000000,90,3,1,Action,Adventure,Drama,Alejandro G. Iñárritu,,
92,2015,54308575,228433663,630620818,108000000,40,0,1,Adventure,Drama,Sci-Fi,Ridley Scott,,
93,2016,881104,151101803,471990294,30000000,241,6,1,Comedy,Drama,Music,Damien Chazelle,,
94,2016,132434639,363070709,782836791,58000000,29,0,0,Action,Comedy,,Tim Miller,,
95,2013,260382,25568251,48517427,23000000,83,1,1,Drama,Romance,Sci-Fi,Spike Jonze,,
96,2010,1443809,106954678,329398046,13000000,97,1,1,Drama,Thriller,,Darren Aronofsky,,
97,1991,162146,218967620,424967620,25000000,33,2,1,Animation,Family,Fantasy,Gary Trousdale, Kirk Wise,
98,1999,193604,22455976,48451803,37000000,28,0,1,Drama,,,Paul Thomas Anderson,,
99,2006,8648324,57377916,171720398,100000000,8,0,1,Adventure,Drama,Thriller,Edward Zwick,,
100,1979,140034,20206622,20745728,4000000,0,0,0,Comedy,,,Terry Jones,,
101,2016,,,31191910,4000000,2,0,0,Crime,Drama,Mystery,Oriol Paulo,,
102,1975,,50000000,50000000,1800000,14,1,1,Biography,Crime,Drama,Sidney Lumet,,
103,1971,,29133000,29146131,1300000,19,2,1,Drama,Romance,,Peter Bogdanovich,,
104,1966,,28000000,28005068,7500000,22,5,1,Drama,,,Mike Nichols,,
105,1959,,,24701,,4,0,0,Drama,Western,,Howard Hawks,,
106,1941,,18180,34691,375000,5,0,1,Crime,Film-Noir,Mystery,John Huston,,
107,1982,,22244207,22265763,12000000,3,0,0,Drama,Fantasy,Music,Alan Parker,,
108,1962,,,,980000,5,1,1,Drama,Horror,Thriller,Robert Aldrich,,
109,1998,,351447,370787,,6,0,0,Comedy,Crime,Romance,Emir Kusturica,,
110,1988,17814,1209846,1209846,,12,0,0,Documentary,Crime,,Errol Morris,,
111,2002,209148,21576018,58011975,4000000,39,1,1,Documentary,Crime,Drama,Michael Moore,,
112,1973,11206,509,509,,13,1,1,Comedy,Drama,Romance,François Truffaut,,
113,2004,260135,1111061,76287982,12800000,13,0,0,Action,Drama,War,Je-kyu Kang,,
114,2004,,,20839049,5000000,0,0,0,Adventure,Comedy,Sci-Fi,Ömer Faruk Sorak,,
115,1971,,1156554,,,8,0,1,Drama,History,,Jan Troell,,
116,2016,,,,,5,0,0,Documentary,,,Cassie Jaye,,
117,2007,51493,677914,790128,,9,0,0,Documentary,Biography,Sport,Seth Gordon,,
118,1972,,,,,9,0,1,Drama,Western,,Jan Troell,,
119,2001,,,968318,2500000,7,0,0,Comedy,Drama,,Yilmaz Erdogan, Ömer Faruk Sorak,
120,1954,,,9311,,0,0,0,Drama,Romance,Thriller,Kenji Mizoguchi,,
121,2001,,,,,2,0,0,Documentary,Biography,,Jan Harlan,,
122,1996,,,,,0,0,0,Music,,,John B. Hobbs,,
123,1929,,,,,0,0,0,Comedy,,,Archie Mayo,,
124,2016,,,,14000,0,0,0,Documentary,Reality-TV,,Blake Naftel,,
125,1997,28638131,674292608,2264743305,200000000,126,11,1,Drama,Romance,,James Cameron,,
126,2004,93687367,250105651,807047946,130000000,17,0,1,Adventure,Family,Fantasy,Alfonso Cuarón,,
127,1997,50168,26416349,43117303,15000000,36,0,1,Drama,,,Paul Thomas Anderson,,
128,2009,265900,21002919,58087259,40000000,32,0,1,Animation,Adventure,Comedy,Wes Anderson,,
129,2009,77025481,785221649,2923706026,237000000,90,3,1,Action,Adventure,Fantasy,James Cameron,,
130,2014,28760246,100206256,370541256,178000000,11,0,0,Action,Adventure,Sci-Fi,Doug Liman,,
131,2018,51061119,216668042,910809311,52000000,49,4,1,Biography,Drama,Music,Bryan Singer,,
132,1993,4023420,12281551,13088850,13000000,0,0,0,Crime,Drama,Romance,Tony Scott,,
133,2017,122744989,315058289,855301806,180000000,6,0,0,Action,Adventure,Comedy,Taika Waititi,,
134,1942,,,10390,,3,1,1,Drama,Romance,,Irving Rapper,,
135,2021,,,,300000000,5,0,0,Action,Adventure,Fantasy,Zack Snyder,,
136,2003,640815,90135191,156595191,25000000,56,2,1,Crime,Drama,Mystery,Clint Eastwood,,
137,2014,90823660,233921534,746045700,200000000,16,0,1,Action,Adventure,Sci-Fi,Bryan Singer,,
138,1976,,70600000,70600414,8500000,17,4,1,Drama,History,Thriller,Alan J. Pakula,,
139,1979,,30177511,30177511,,14,1,1,Comedy,Drama,,Hal Ashby,,
140,2017,27547866,132422809,315025930,20000000,5,0,1,Drama,Family,,Stephen Chbosky,,
141,2012,22451514,124987023,609016565,120000000,81,4,1,Adventure,Drama,Fantasy,Ang Lee,,
142,1969,,638641,638641,6244087,6,0,1,Action,Adventure,Drama,Sam Peckinpah,,
143,2000,663205,128530421,213977285,17000000,101,4,1,Action,Adventure,Drama,Ang Lee,,
144,1965,,111721910,111922142,11000000,21,5,1,Drama,Romance,War,David Lean,,
145,1933,,,651,670000,3,0,0,Adventure,Horror,Sci-Fi,Merian C. Cooper, Ernest B. Schoedsack,
146,2000,91612,4184036,40061153,12800000,34,0,1,Crime,Drama,Musical,Lars von Trier,,
147,2002,17800000,53710019,177395557,31000000,46,0,1,Action,Adventure,Drama,Yimou Zhang,,
148,1948,,,10590,1500000,0,0,0,Crime,Drama,Mystery,Alfred Hitchcock,,
149,1946,,25556,47912,250000,2,0,0,Crime,Film-Noir,Mystery,Howard Hawks,,
150,2010,1944027,4018771,42345360,12000000,25,0,0,Adventure,Drama,Romance,Karan Johar,,
151,1951,,,49523,1800000,18,4,1,Drama,,,Elia Kazan,,
152,2011,204878,44671682,133471171,15000000,162,5,1,Comedy,Drama,Romance,Michel Hazanavicius,,
