Index,Year,Opening Weekend Gross,US & Canada Gross,Worldwide Gross,Budget,awards,oscar wins,oscar nominated,Genre,Genre,Genre,Director 1,Director 2,Director 3
1077,2022,,,19164033,,2,0,0,Biography,Drama,History,Olivier Dahan,,
1078,1971,,,,2000000,0,0,0,Adventure,Drama,Western,Richard C. Sarafian,,
1079,1935,,,2616000,,2,2,1,Comedy,Fantasy,Romance,William Dieterle, Max Reinhardt,
1080,1931,,,,,0,0,0,Crime,Drama,Film-Noir,Roy Del Ruth,,
1081,1987,,443524,,,0,0,0,Drama,,,Pat O'Connor,,
1082,1962,,3270000,,,0,0,0,Comedy,Horror,Mystery,Roger Corman,,
1083,1953,,,,967000,0,0,0,Adventure,Drama,,William A. Wellman,,
1084,1994,19190,86115,86115,,0,0,0,Drama,,,Chris Menges,,
1085,2014,,,434957,25000000,0,0,0,Drama,War,,Michel Hazanavicius,,
1086,1944,,,,,0,0,0,Adventure,Drama,Romance,Michael Curtiz,,
1087,1942,,,,,0,0,0,Action,Adventure,Drama,John Huston, Vincent Sherman,
1088,1941,,,,,0,0,0,Crime,Drama,Film-Noir,Anatole Litvak,,
1089,1955,,3000000,,,0,0,1,Biography,Drama,War,Otto Preminger,,
1090,1949,,1300000,,,0,0,1,Drama,Film-Noir,Romance,King Vidor,,
1091,1953,,,,,0,0,0,Comedy,Drama,Romance,Michael Curtiz,,
1092,1975,,,,,0,0,0,Crime,Thriller,,Claude Chabrol,,
1093,1968,,,,2500000,0,0,0,Action,Adventure,Drama,Vincent McEveety,,
1094,1931,,,,,0,0,1,Drama,Horror,Romance,Archie Mayo,,
1095,2015,,,3685708,,0,0,0,Adventure,Drama,Family,Gerardo Olivares, Otmar Penker,
1096,1943,,,,1568000,0,0,1,Comedy,Musical,,David Butler,,
1097,1961,,9996178,,,0,0,1,Drama,Romance,,Joshua Logan,,
1098,1935,,,,,0,1,1,Drama,Romance,,Alfred E. Green,,
1099,1940,,,,171200,0,0,0,Crime,Drama,Film-Noir,Boris Ingster,,
1100,1942,,,,1209000,0,0,1,Drama,War,,Raoul Walsh,,
1101,1969,,,,,5,0,0,Fantasy,Comedy,,Joaquim Pedro de Andrade,,
1102,2016,,,3054505,5000000,24,0,0,Biography,Thriller,,Alberto Rodríguez,,
1103,1939,,,,,0,0,0,Crime,Drama,Film-Noir,Busby Berkeley,,
1104,1947,,,,1822000,0,0,0,Crime,Drama,Film-Noir,Vincent Sherman,,
1105,1950,,,6713,1600000,0,0,1,Adventure,Drama,Romance,Jacques Tourneur,,
1106,1932,,,,,0,0,0,Comedy,Mystery,Romance,Roy Del Ruth,,
1107,1998,,,,,0,0,0,Crime,Mystery,,Antonio Bonifacio,,
1108,2017,,,21001633,,0,0,0,Action,Crime,Drama,Yû Irie,,
1109,1980,,,,,0,0,0,Animation,Comedy,Family,Steven Lisberger,,
1110,1960,,,,,3,0,1,Biography,Drama,,Vincent J. Donehue,,
1111,1931,,,,,0,0,1,Crime,Drama,,Alfred E. Green,,
1112,1951,,,,,0,0,0,Western,,,Raoul Walsh,,
1113,1927,,,,539000,0,0,0,Comedy,Romance,,Roscoe 'Fatty' Arbuckle,,
1114,1946,,,,,0,0,0,Crime,Film-Noir,Mystery,Harold Clurman, William Cameron Menzies,
1115,1951,,,,,2,0,0,Biography,Comedy,Musical,Michael Curtiz,,
1116,1951,,,,,0,0,1,Drama,,,Gordon Douglas,,
1117,1961,,,,,0,0,0,Comedy,,,Robert Day,,
1118,1932,,,,,0,0,0,Crime,Drama,Film-Noir,Michael Curtiz,,
1119,1934,,,,,0,0,0,Adventure,Comedy,Crime,Alan Crosland,,
1120,1948,,,,,0,0,0,Comedy,,,Bretaigne Windust,,
1121,1947,,,,,0,0,0,Comedy,Romance,,Irving Rapper,,
1122,1932,,,,286000,0,0,0,Crime,Drama,Music,William A. Wellman,,
1123,1958,,,,,0,0,0,Drama,Western,,Gordon Douglas,,
1124,1950,,,,530000,0,0,0,Crime,Drama,Film-Noir,Andrew L. Stone,,
1125,1945,,,,940000,0,0,0,Drama,War,,Peter Godfrey,,
1126,1987,,125400,125400,,4,0,1,Drama,Romance,,Luis Mandoki,,
1127,1985,,,,,2,0,0,Drama,,,Stan Lathan,,
1128,2015,,,4156499,,8,0,0,Comedy,,,Edoardo Leo,,
1129,1932,,,,228000,0,0,0,Drama,Romance,,William A. Wellman,,
1130,1998,,,,,0,0,0,Drama,Mystery,,Claude Miller,,
1131,1947,,,,,0,0,0,Action,Crime,Drama,Jean Negulesco,,
1132,2019,,,,,0,0,0,Comedy,Drama,Fantasy,Sorush Sehhat,,
1133,2023,55043679,108133313,270633313,200000000,0,0,0,Action,Adventure,Fantasy,Andy Muschietti,,
1134,2017,61025472,168052812,568652812,185000000,0,0,1,Action,Adventure,Fantasy,Jordan Vogt-Roberts,,
1135,2005,56178450,206459076,474968763,150000000,15,0,1,Adventure,Comedy,Family,Tim Burton,,
1136,2011,12050368,37520095,173930596,40000000,0,0,0,Action,Sci-Fi,Thriller,Andrew Niccol,,
1137,2018,36011640,102084362,190400157,62000000,0,0,0,Action,Crime,Thriller,Antoine Fuqua,,
1138,2022,,,,,0,0,0,Comedy,Family,,Clay Kaytis,,
1139,2010,9739161,32367005,102820008,30000000,0,0,0,Comedy,Drama,Romance,Edward Zwick,,
1140,2000,13731070,57262492,106371651,41300000,0,0,0,Comedy,Crime,,Jonathan Lynn,,
1141,1998,18426749,115821495,250821495,65000000,6,0,0,Comedy,Drama,Romance,Nora Ephron,,
1142,1995,150800,273188,273188,,0,0,0,Comedy,Drama,Music,Allan Moyle,,
1143,2017,15371270,39175066,149175066,175000000,0,0,0,Action,Adventure,Drama,Guy Ritchie,,
1144,2022,,,,116000000,0,0,0,Action,Adventure,Comedy,Shawn Levy,,
1145,2019,59251543,320314960,801693929,125000000,2,0,0,Action,Adventure,Comedy,Jake Kasdan,,
1146,1984,8570007,81198894,81198894,4500000,0,0,0,Comedy,,,Hugh Wilson,,
1147,2000,10015822,53331147,112880294,23000000,3,0,0,Horror,Thriller,,James Wong,,
1148,2017,39023010,100234838,410902662,104000000,2,0,0,Action,Adventure,Comedy,Matthew Vaughn,,
1149,1956,,42000000,42009549,6000000,14,5,1,Adventure,Comedy,Family,Michael Anderson, John Farrow,
1150,1993,14262432,58055768,58055768,57000000,0,0,0,Action,Sci-Fi,Thriller,Marco Brambilla,,
1151,2012,21051363,54731865,102731865,12000000,0,0,0,Comedy,,,Nima Nourizadeh,,
1152,2021,,,,,0,0,0,Comedy,Family,,Michael Dowse,,
1153,2016,28871140,87242834,296482446,110000000,2,0,0,Adventure,Drama,Family,Tim Burton,,
1154,2007,,,,12000000,6,0,0,Comedy,Horror,,Michael Dougherty,,
1155,2013,53113752,132556852,414828246,120000000,2,0,0,Action,Sci-Fi,,James Mangold,,
1156,1999,6622518,18661336,58401898,38000000,2,0,0,Mystery,Thriller,,Roman Polanski,,
1157,2003,48475154,139313948,427344325,150000000,5,0,0,Action,Sci-Fi,,Lana Wachowski, Lilly Wachowski,
1158,2010,25669455,77222099,177238796,110000000,2,0,0,Action,Adventure,Crime,Joe Carnahan,,
1159,2001,67408222,226164286,347325802,90000000,10,0,0,Action,Comedy,Crime,Brett Ratner,,
1160,2002,32528016,82348319,155010032,54000000,6,0,0,Action,Horror,Sci-Fi,Guillermo del Toro,,
1161,2007,27800000,118946291,203627753,75000000,21,0,0,Comedy,Drama,Musical,Adam Shankman,,
1162,1999,7771066,26511114,40263020,35000000,0,0,0,Comedy,Drama,Romance,Hugh Wilson,,
1163,1968,,,,830000,0,0,0,Drama,Romance,,Sidney Lumet,,
1164,2001,9733954,25288103,65754228,40000000,0,0,0,Drama,Romance,,Pat O'Connor,,
1165,1999,3986269,10571408,10571408,15000000,2,0,0,Comedy,Romance,Thriller,Michael Patrick Jann,,
1166,1984,6011695,28733290,28733290,15000000,0,0,0,Action,Adventure,Sci-Fi,Nick Castle,,
1167,2008,248847,20211394,27712362,20000000,5,0,0,Action,Crime,Drama,Ed Harris,,
1168,2011,12370549,40259119,63782078,30000000,8,0,0,Action,Adventure,Drama,Joe Wright,,
1169,2005,30864,12712093,49334775,30000000,6,0,1,Biography,Drama,History,Terrence Malick,,
1170,2013,160547,1714221,12077441,12000000,7,0,0,Drama,Thriller,,Park Chan-wook,,
1171,1994,17174262,92115211,117615211,45000000,3,0,1,Crime,Drama,Mystery,Joel Schumacher,,
1172,1998,15369048,78685114,198685114,55000000,10,0,0,Drama,Fantasy,Romance,Brad Silberling,,
1173,2013,17070347,46000903,105200903,60000000,0,0,0,Action,Crime,Drama,Ruben Fleischer,,
1174,2013,17118745,51872378,68572631,13000000,0,0,0,Drama,Thriller,,Brad Anderson,,
1175,1984,7393361,40400657,40400657,28000000,0,0,1,Adventure,Mystery,Sci-Fi,Peter Hyams,,
1176,2017,13401586,84410380,296069199,111000000,2,0,1,Animation,Adventure,Comedy,Carlos Saldanha,,
1177,2015,5107604,9252038,16810562,2000000,0,0,0,Action,Adventure,Sci-Fi,Ilya Naishuller,,
1178,1994,7543504,25052000,25052000,63000000,3,0,1,Action,Adventure,Biography,Lawrence Kasdan,,
1179,1997,14678016,50068310,50068310,50000000,0,0,0,Action,Crime,Drama,Clint Eastwood,,
1180,1992,4184875,18471850,18471850,,0,0,0,Comedy,Drama,Music,Cameron Crowe,,
1181,2011,36000,36000,88823111,3500000,2,0,0,Comedy,,,Ben Palmer,,
1182,2014,15679190,50474843,78274843,11000000,3,0,0,Drama,Fantasy,Music,R.J. Cutler,,
1183,1992,33243086,144731527,321731527,35000000,3,0,0,Action,Crime,Thriller,Richard Donner,,
1184,1992,101707,7532911,7532911,,6,0,1,Drama,Romance,,Louis Malle,,
1185,1998,834817,11841544,11841544,6000000,6,0,0,Comedy,Drama,Fantasy,Peter Howitt,,
1186,2003,16064723,124728738,265328738,80000000,8,0,1,Comedy,Drama,Romance,Nancy Meyers,,
1187,1992,7675016,88036683,88036683,11700000,6,0,0,Drama,Thriller,,Curtis Hanson,,
1188,1976,,46236000,46236000,9000000,0,0,0,Action,Crime,Thriller,James Fargo,,
1189,1997,19313566,75982834,136982834,75000000,4,0,0,Action,Drama,Mystery,Richard Donner,,
1190,1985,,,,3800000,0,0,0,Crime,Horror,Mystery,Dario Argento,,
1191,2000,11516712,30919168,39459427,80000000,2,0,0,Drama,Fantasy,Sport,Robert Redford,,
1192,2009,32695407,77233467,100140916,100000000,7,0,0,Adventure,Drama,Family,Spike Jonze,,
1193,2017,518332,12638526,18598607,25000000,3,0,0,Biography,Comedy,Drama,Jonathan Dayton, Valerie Faris,
1194,1990,3514678,35419397,35419397,20000000,4,0,0,Comedy,Drama,Romance,Richard Benjamin,,
1195,1999,18383507,106885658,176885658,80000000,4,0,0,Comedy,Crime,,Harold Ramis,,
1196,2020,8170315,13590514,15490514,,0,0,0,Drama,Sport,,Gavin O'Connor,,
1197,1986,408980,2015882,2015882,,0,0,0,Drama,Sport,,Hal Needham,,
1198,2007,13471488,36793804,69787394,70000000,0,0,0,Action,Crime,Drama,Neil Jordan,,
1199,1994,4328543,20016254,20016254,,0,0,0,Comedy,Drama,,Alek Keshishian,,
1200,1980,,43995918,43995918,,0,0,0,Comedy,Romance,,Jay Sandrich,,
1201,1940,,,,,0,0,0,Crime,Drama,,Anatole Litvak,,
1202,2019,5605051,17156058,33856058,10000000,0,0,0,Crime,Drama,Mystery,Bill Condon,,
1203,1991,5640712,34793160,34793160,14000000,0,0,0,Adventure,Drama,Family,Randal Kleiser,,
1204,1988,97578,32632093,32632093,,4,1,1,Drama,Romance,,Lawrence Kasdan,,
1205,2014,1988351,3322127,3485383,6000000,0,0,0,Crime,Drama,Mystery,Rob Thomas,,
1206,1998,277601,3020601,3020601,8000000,0,0,0,Comedy,Drama,Music,Whit Stillman,,
1207,2017,49569,150532,7162617,,0,0,0,Action,Drama,Fantasy,Takashi Miike,,
1208,1995,9858380,32392047,32392047,7500000,2,0,0,Action,Comedy,Crime,Stanley Tong,,
1209,1994,4556274,22150451,68792531,25000000,4,0,1,Comedy,Drama,Romance,Jeremy Leven,,
1210,1980,8691886,101300000,101300000,10000000,0,0,0,Comedy,Crime,,Sidney Poitier,,
1211,1970,,,,750000,0,0,0,Crime,Drama,,Donald Cammell, Nicolas Roeg,
1212,1985,50437,91666,91666,7000000,0,0,0,Comedy,Drama,,Kevin Reynolds,,
1213,1990,116975,20710451,20710451,16000000,3,0,1,Drama,,,Franco Zeffirelli,,
1214,2018,10411189,29790236,52390236,10000000,0,0,0,Animation,Action,Adventure,Aaron Horvath, Peter Rida Michail,
1215,1954,,,4334,1470000,5,1,1,Action,Adventure,Drama,William A. Wellman,,
1216,1993,4026775,24760338,24760338,,0,0,0,Drama,,,Mel Gibson,,
1217,1985,2415626,13961370,13961370,,0,0,0,Adventure,Comedy,Family,Ken Kwapis,,
1218,1993,57280,1498795,1498795,,0,0,0,Drama,Romance,,David Cronenberg,,
1219,1990,82753,2075084,2075084,25000000,9,0,0,Adventure,Drama,,Bernardo Bertolucci,,
1220,2022,,,,,0,0,0,Animation,Action,Adventure,Rick Morales,,
1221,2009,406768,6113834,50812934,23000000,5,0,1,Biography,Drama,,Anne Fontaine,,
1222,1995,1915192,4821759,4821759,,0,0,0,Comedy,Drama,,Patrick Read Johnson,,
1223,1996,69365,656747,656747,,0,0,0,Comedy,Drama,,Richard Linklater,,
1224,1939,,,,1500000,4,0,0,Drama,War,,Anatole Litvak,,
1225,1988,2205628,8674093,8674093,,0,0,0,Drama,,,Glenn Gordon Caron,,
1226,1996,168012,13323144,13323144,36000000,2,0,1,Drama,History,,Rob Reiner,,
1227,1967,,,65232,4500000,0,0,0,Drama,Romance,Thriller,John Huston,,
1228,1958,,,,,0,0,0,Comedy,Romance,,Stanley Donen,,
1229,1994,,1095885,1095885,2300000,4,0,0,Crime,Drama,,James Gray,,
1230,1975,,,,70000,5,0,0,Action,Comedy,Crime,Sidney Poitier,,
1231,1982,,,,105000,0,0,0,Drama,Music,,Susan Seidelman,,
1232,2008,63638,1190003,2336172,25000000,5,0,0,Comedy,Drama,,Richard Linklater,,
1233,2019,,,4223,,0,0,0,Animation,Action,Adventure,Sam Liu,,
1234,2006,,,42013016,,7,0,0,Comedy,Drama,Music,Yong-hwa Kim,,
1235,2015,,,6457515,,0,0,0,Drama,Romance,,Ali Bilgin,,
1236,1954,,,,,0,0,0,Drama,Music,Romance,Gordon Douglas,,
1237,1971,,212012,,,3,0,1,Comedy,Drama,,Stanley Kramer,,
1238,2016,,,56711,3500000,0,0,0,Animation,Action,Adventure,Rick Morales,,
1239,2023,,,,,0,0,0,Crime,Horror,Thriller,Takashi Miike,,
1240,1964,,,10980,4200000,0,0,1,Drama,History,Western,John Ford,,
1241,2007,3650000,7500310,9411042,27000000,0,0,0,Comedy,Drama,Family,Menno Meyjes,,
1242,1975,,,,,0,0,0,Comedy,,,Melvin Frank,,
1243,1997,66920,334319,334319,9000000,0,0,0,Drama,War,,Michael Winterbottom,,
1244,1969,,100437,,,0,0,0,Drama,Horror,Sci-Fi,Terence Fisher,,
1245,1970,,,,200000,0,0,0,Comedy,Drama,,Werner Herzog,,
1246,1980,76163,14287755,14287755,10100000,0,0,1,Drama,Romance,Music,Joel Oliansky,,
1247,1976,,,,1000000,0,0,0,Drama,Music,,Sam O'Steen,,
1248,2019,,,9859731,4000000,10,0,0,Drama,,,Ferzan Özpetek,,
1249,1933,,,,923055,0,0,0,Comedy,Musical,Romance,Robert Z. Leonard,,
1250,1997,23387530,112276146,245676146,80000000,11,0,1,Action,Crime,Sci-Fi,John Woo,,
1251,2016,,,,8000000,0,0,0,Adventure,Comedy,Drama,Jordan Roberts,,
1252,2012,1938,3878,17027515,,3,0,0,Action,Crime,Drama,Takeshi Kitano,,
1253,1974,,65000,,,0,0,0,Drama,Romance,,Christopher Larkin,,
1254,1949,,,,2873000,0,0,0,Comedy,Musical,Romance,Henry Koster,,
1255,1995,117161,559771,559771,8000000,3,0,0,Comedy,Drama,,Charles Matthau,,
1256,2007,11059,22136,22136,,0,0,0,Drama,,,Alison Eastwood,,
1257,1999,,1350248,1350248,312000,10,0,1,Comedy,Drama,,Gavin O'Connor,,
1258,1964,,,,,0,0,0,Drama,War,,Andrew Marton,,
1259,1943,,,,,0,0,0,Film-Noir,Horror,Thriller,Jacques Tourneur,,
1260,1985,1847962,4889971,4889971,,3,0,0,Animation,Adventure,Family,Bernard Deyriès, Kimio Yabuki,
1261,1947,,,,,0,0,0,Crime,Film-Noir,Thriller,Anthony Mann,,
1262,1959,,,,550000,0,0,0,Biography,Crime,Drama,Richard Wilson,,
1263,1998,,,,4200000,14,0,0,Comedy,Drama,,Fernando Trueba,,
1264,1952,,,,,0,0,1,Drama,History,,John Brahm,,
1265,1960,,,,,0,0,1,Biography,Crime,History,Budd Boetticher,,
1266,1946,,,,,0,0,0,Comedy,,,James V. Kern,,
1267,2002,,,489075,,0,0,0,Comedy,Drama,Musical,P.J. Hogan,,
1268,1970,,,,,0,0,0,Animation,Family,Fantasy,Tony Benedict, Barry Mahon,
1269,1943,,,,,0,0,1,Drama,Music,Mystery,Edmund Goulding,,
1270,1941,,,,,0,0,0,Comedy,Crime,Mystery,S. Sylvan Simon,,
1271,1946,,,,,0,0,0,Drama,Film-Noir,Music,Raoul Walsh,,
1272,1928,,,,1005000,0,0,0,Drama,War,,Michael Curtiz, Darryl F. Zanuck,
1273,1940,,,,,0,0,0,Biography,Drama,Family,Lloyd Bacon, William K. Howard,
1274,1938,,,,,0,0,0,Drama,,,Anatole Litvak,,
1275,1998,269167,452654,,,0,0,0,Comedy,,,P.J. Castellaneta,,
1276,1981,,,,,3,0,0,Comedy,Crime,Drama,Bernardo Bertolucci,,
1277,1943,,,,,0,0,0,Action,Comedy,Crime,S. Sylvan Simon,,
1278,1939,,,,500000,0,0,0,Action,Crime,Drama,Lloyd Bacon,,
1279,1941,,,,,0,0,1,Crime,Drama,Music,Anatole Litvak,,
1280,1950,,,,,0,0,0,Action,Adventure,Drama,William Keighley,,
1281,1950,,,,1944000,0,0,0,Drama,Romance,,Michael Curtiz,,
1282,1941,,,,,0,0,0,Comedy,Crime,Mystery,Lloyd Bacon,,
1283,1953,,,,,0,0,0,Drama,Romance,Western,Robert Wise,,
1284,1942,,,,417000,0,0,0,Crime,Drama,Film-Noir,Lewis Seiler,,
1285,2008,,,5589390,,0,0,0,Documentary,Biography,Drama,Haci Mehmet Duranoglu, Can Dündar,
1286,1956,,,,2846000,0,0,0,Drama,Romance,Western,Robert Wise,,
1287,1951,,,,,0,0,0,Comedy,Musical,Romance,David Butler,,
1288,1933,,,,286000,0,0,0,Comedy,Drama,Romance,Michael Curtiz, William Dieterle, William A. Wellman
1289,1967,,,,,0,0,0,Drama,Sci-Fi,,Jan Schmidt,,
1290,1943,,,,651000,0,1,1,Comedy,Romance,,Norman Krasna,,
1291,1941,,,,,0,0,1,Biography,Drama,Romance,Irving Rapper,,
1292,1925,,205550,,,0,0,0,Drama,Romance,,Monta Bell,,
1293,1933,,,,260000,0,0,0,Drama,,,Michael Curtiz,,
1294,1961,,,,,3,0,1,Comedy,Drama,Family,Mervyn LeRoy,,
1295,1937,,,,,0,0,0,Crime,Drama,Thriller,Edward Ludwig,,
1296,1974,,,,,0,0,0,Thriller,,,Claude Chabrol,,
1297,1937,,,,,0,0,0,Drama,,,William Dieterle,,
1298,1930,,,,,0,1,1,Comedy,Drama,,George W. Hill,,
1299,1930,,,,,0,0,0,Crime,Drama,Romance,Jack Conway,,
1300,1950,,,,784000,0,0,0,Drama,War,,Lewis Seiler,,
1301,1978,,,,,3,0,0,Drama,,,Margarethe von Trotta,,
1302,2011,,,,,4,0,0,Documentary,,,Bryan Storkel,,
1303,1940,,,,,0,0,0,Action,Adventure,Comedy,William Keighley,,
1304,1935,,,,,0,0,0,Comedy,Romance,,Ray Enright,,
1305,1984,,,,,5,0,1,Drama,,,Uri Barbash,,
1306,1956,,,,,0,0,0,Documentary,Animation,History,Irwin Allen,,
1307,2016,,,23096,,0,0,0,Drama,Mystery,,Kei Ishikawa,,
1308,1934,,,,,0,0,0,Comedy,Drama,Mystery,George Archainbaud,,
1309,1932,,,,,0,0,0,Comedy,Romance,,Alfred E. Green,,
1310,2008,,,1577437,,3,0,0,Horror,Mystery,Thriller,Mario Muñoz,,
1311,1940,,,,,0,0,0,Crime,Drama,Mystery,Edmund Goulding, William K. Howard, William Keighley
1312,2011,,,1600139,,2,0,0,Comedy,Drama,,Paco Arango,,
1313,2003,,,696126,2500000,0,0,0,Animation,Fantasy,Musical,Ilya Maksimov, Konstantin Bronzit, Denis Chernov
1314,1963,,,,,0,0,0,Documentary,,,Giovanni Guareschi, Pier Paolo Pasolini,
1315,1935,,,,,0,0,0,Drama,,,Alfred E. Green,,
1316,2013,2969,6694,93046,,0,0,0,Comedy,Drama,Romance,Arvin Chen,,
1317,1969,,,,,0,0,0,Drama,Sci-Fi,,Peter Watkins,,
1318,1996,,,,,2,0,0,Action,Crime,Thriller,Benny Chan,,
1319,1924,,,,,3,0,0,Drama,Romance,,King Vidor,,
1320,2000,,,,,2,0,0,Comedy,,,J.D. Shapiro,,
1321,1936,,,,,0,0,0,Adventure,Drama,Romance,Howard Hawks,,
1322,1924,,,,,0,0,0,Drama,,,Wesley Ruggles,,
1323,1938,,,,,0,0,0,Comedy,Romance,,Ray Enright,,
1324,2007,23217,109107,113398,,3,0,0,Documentary,,,Ted Braun,,
1325,1936,,,,,0,0,0,Drama,Mystery,Romance,Archie Mayo,,
1326,1937,,,,,0,0,0,Drama,,,William C. McGann,,
1327,2015,,,,,0,0,0,Comedy,Drama,Romance,Marcos Jorge,,
1328,1995,,,,,0,0,0,Documentary,Biography,,Walt Missingham,,
1329,1933,,,,107000,0,0,0,Comedy,Crime,Mystery,Robert Florey,,
1330,2003,54000,156000,345708,,0,0,0,Documentary,Action,Adventure,Philip Boston,,
1331,2011,,,167173,,0,0,0,Biography,Drama,,Cemal San,,
1332,1936,,,,,0,0,0,Comedy,Romance,,Mervyn LeRoy,,
1333,1954,,,,,0,0,0,Action,Crime,Drama,Walter Doniger,,
1334,1935,,,,,0,0,0,Drama,Romance,,Mervyn LeRoy,,
1335,1992,2900,6682,,,2,0,0,Documentary,,,George Daugherty,,
1336,2004,23323463,189528738,316897787,165000000,5,0,1,Animation,Adventure,Comedy,Robert Zemeckis,,
1337,2015,18685137,53862963,159162963,50100000,0,0,0,Comedy,Crime,Drama,Glenn Ficarra, John Requa,
1338,2018,16853422,46874505,151572634,69000000,3,0,0,Action,Drama,Thriller,Francis Lawrence,,
1339,2008,14800723,49554002,211787511,130000000,15,0,1,Adventure,Drama,Romance,Baz Luhrmann,,
1340,2014,91608337,202853933,708982323,200000000,4,0,0,Action,Adventure,Sci-Fi,Marc Webb,,
1341,2004,6711384,17771387,22605153,25000000,0,0,0,Comedy,,,Jeff Schaffer, Alec Berg, David Mandel
1342,2002,597362,241438208,368744044,5000000,20,0,1,Comedy,Drama,Romance,Joel Zwick,,
1343,2010,35543162,119219978,170458922,100000000,3,0,0,Action,Comedy,Crime,Adam McKay,,
1344,1993,16864404,100768056,195268056,45000000,0,0,0,Crime,Drama,Mystery,Alan J. Pakula,,
1345,2008,55414050,134806913,264770996,150000000,2,0,0,Action,Adventure,Sci-Fi,Louis Leterrier,,
1346,2013,20719162,101470202,126041322,32000000,10,0,0,Comedy,Fantasy,,Evan Goldberg, Seth Rogen,
1347,2019,40328920,111048468,246999039,20000000,2,0,0,Drama,Horror,Sci-Fi,M. Night Shyamalan,,
1348,2014,11558149,34296320,41296320,19800000,0,0,0,Comedy,Drama,,Shawn Levy,,
1349,1999,54917604,206040086,313701294,33000000,18,0,1,Action,Adventure,Comedy,Jay Roach,,
1350,1995,7797185,71518503,71518503,25000000,2,0,0,Comedy,Romance,,Howard Deutch,,
1351,1982,510632,57059003,57063861,50000000,2,0,1,Comedy,Drama,Family,John Huston,,
1352,2022,163405,1177577,11395604,,2,0,1,Drama,Romance,,Sam Mendes,,
1353,2015,17015168,56451232,101134059,60000000,8,0,1,Biography,Drama,,David O. Russell,,
1354,1989,29472894,112494738,215394738,25000000,2,0,0,Action,Comedy,Fantasy,Ivan Reitman,,
1355,2014,328184,8110975,14810975,20000000,15,0,1,Comedy,Crime,Drama,Paul Thomas Anderson,,
1356,2012,38142825,113203870,276144750,125000000,0,0,0,Action,Adventure,Thriller,Tony Gilroy,,
1357,1991,9600754,46704056,46704056,35000000,0,0,0,Action,Adventure,Family,Joe Johnston,,
1358,2000,11039214,44737059,50054511,50000000,0,0,0,Comedy,Sport,,Howard Deutch,,
1359,2017,11932330,45018541,85218541,25000000,0,0,0,Comedy,Crime,,Zach Braff,,
1360,1988,2644920,8247943,8247943,19000000,0,0,0,Horror,Sci-Fi,Thriller,Chuck Russell,,
1361,2013,39115043,159582188,229930771,43000000,7,0,0,Action,Comedy,Crime,Paul Feig,,
1362,1995,13420387,67659560,189859560,50000000,5,0,0,Action,Drama,Thriller,Wolfgang Petersen,,
1363,2019,133475,300460,2927708,60000000,0,0,0,Action,Crime,Drama,Andrea Di Stefano,,
1364,1985,2651665,12993175,12993175,,0,0,0,Drama,Romance,Sport,Harold Becker,,
1365,2022,4700450,23708080,59806881,45000000,0,0,0,Biography,Drama,Music,Kasi Lemmons,,
1366,1988,4022752,74151346,74151346,31000000,0,0,0,Animation,Adventure,Comedy,George Scribner,,
1367,1998,16615704,67638368,128038368,60000000,2,0,0,Crime,Drama,Thriller,Andrew Davis,,
1368,1987,8880555,44793222,44793222,4500000,0,0,0,Fantasy,Horror,,Chuck Russell,,
1369,1998,16863988,57167405,102367405,60000000,0,0,0,Action,Crime,Thriller,Stuart Baird,,
1370,2015,48464322,169700110,475186706,80000000,3,0,0,Animation,Adventure,Comedy,Genndy Tartakovsky,,
1371,2019,34115335,105956290,199603202,99000000,0,0,0,Animation,Action,Adventure,Mike Mitchell,,
1372,2013,33531068,107518682,268426634,100000000,2,0,0,Animation,Action,Adventure,Chris Wedge,,
1373,2014,25447444,83850911,373515621,132000000,0,0,0,Animation,Action,Adventure,Eric Darnell, Simon J. Smith,
1374,1980,118160,21202829,21202829,,7,2,1,Drama,Music,Musical,Alan Parker,,
1375,2015,11012305,26461644,71661644,50000000,0,0,0,Action,Crime,Thriller,Jaume Collet-Serra,,
1376,1998,34048124,130444603,285444603,140000000,4,0,0,Action,Crime,Thriller,Richard Donner,,
1377,2007,5450000,12807139,27122238,39000000,0,0,0,Action,Comedy,Thriller,Michael Davis,,
1378,1997,5233658,25105255,25105255,35000000,0,0,0,Crime,Drama,Mystery,Clint Eastwood,,
1379,1995,5170522,32051917,32051917,20000000,2,0,0,Drama,Mystery,Thriller,Jon Amiel,,
1380,2016,,,4086096,4000000,8,0,0,Action,Adventure,Drama,Colm McCarthy,,
1381,1986,110313,14302779,14302779,25000000,0,0,0,Adventure,Drama,Thriller,Peter Weir,,
1382,1983,9688561,67642693,67642693,22000000,0,0,0,Action,Crime,Thriller,Clint Eastwood,,
1383,1981,3059638,17374595,17374595,16000000,0,0,1,Action,Crime,Sci-Fi,Peter Hyams,,
1384,2015,45428128,154280290,380418444,150000000,245,6,1,Action,Adventure,Sci-Fi,George Miller,,
1385,1971,,2437000,2437000,777000,2,0,0,Drama,Sci-Fi,Thriller,George Lucas,,
1386,1991,7039622,47624353,47624353,8000000,0,0,0,Action,Crime,Drama,Mario Van Peebles,,
1387,2018,23045635,83315531,218015531,80000000,0,0,0,Animation,Adventure,Comedy,Karey Kirkpatrick, Jason Reisig,
1388,2008,6262396,15740721,31200557,30000000,0,0,0,Crime,Drama,Thriller,Gavin O'Connor,,
